R1,00:00.0,00:33.0
R10,17:40.0,22:57.5
R11,23:00.0,27:42.0
R12,27:50.0,31:00.3
R13,32:00.0,35:46.5
R14,35:50.0,40:36.0
R15,40:40.0,46:22.5
R16,46:30.0,50:43.0
R17,50:50.0,56:22.0
R18,58:00.0,02:27.0
R19,02:40.0,08:55.5
R2,01:00.0,01:46.0
R20,09:00.0,12:51.0
R21,13:00.0,15:29.5
R22,15:30.0,21:28.0
R23,23:00.0,26:35.5
R24,26:40.0,31:37.0
R25,31:40.0,34:11.0
R26,34:20.0,38:32.5
R27,38:40.0,43:02.5
R28,44:00.0,47:23.0
R29,47:30.0,50:10.0
R3,02:00.0,03:00.0
R30,50:20.0,57:52.5
R31,58:00.0,02:30.0
R32,02:40.0,06:42.0
R33,10:00.0,16:44.5
R34,16:50.0,22:44.0
R35,22:50.0,27:11.5
R36,27:20.0,31:55.0
R37,32:00.0,36:36.5
R38,38:00.0,41:50.0
R39,42:00.0,44:36.0
R4,03:05.0,04:05.0
R40,44:40.0,47:39.0
R41,47:40.0,54:32.5
R42,54:40.0,58:46.0
R43,00:00.0,05:34.5
R44,05:40.0,09:31.0
R45,09:40.0,14:56.0
R46,15:00.0,23:34.5
R47,23:40.0,28:23.5
R48,29:00.0,32:34.5
R49,32:40.0,37:20.5
R5,04:10.0,05:10.0
R50,37:30.0,42:25.5
R51,42:30.0,46:39.0
R52,46:40.0,50:59.0
R53,52:00.0,54:55.5
R54,55:00.0,59:26.5
R55,59:30.0,04:59.5
R56,05:00.0,08:10.0
R57,08:20.0,12:22.5
R6,05:15.0,06:15.0
R7,06:20.0,07:20.0
R8,10:00.0,14:05.5
R9,14:10.0,17:35.5
